Timestamp,Field_ID,Asset_ID,Ambient_Temperature_C,Humidity_Percentage,Daily_Rainfall_mm,Soil_Moisture_Percentage,Nitrogen_N_ppm,Phosphorus_P_ppm,Potassium_K_ppm
2023-01-06,FLD_02,EQP_002,11.7,25.1,0.0,42.9,50.7,41.6,28.8
2023-01-06,FLD_03,EQP_003,31.3,41.3,0.0,19.6,47.3,37.8,40.8
2023-01-06,FLD_04,EQP_004,30.9,44.0,0.0,47.3,44.8,40.7,43.8
2023-01-06,FLD_05,EQP_005,8.2,42.0,0.0,46.2,36.6,26.1,50.0
2023-01-06,FLD_06,EQP_006,27.8,51.7,0.0,62.9,53.2,23.7,45.5
2023-01-07,FLD_01,EQP_001,24.8,50.4,0.0,46.5,39.8,28.8,51.2
2023-01-07,FLD_02,EQP_002,16.3,30.8,0.0,42.8,40.0,38.2,31.4
2023-01-07,FLD_03,EQP_003,27.4,55.3,0.0,27.4,68.8,32.0,45.5
2023-01-07,FLD_04,EQP_004,28.2,54.7,0.0,49.8,55.3,37.9,32.6
2023-01-07,FLD_05,EQP_005,24.9,20.6,0.05,41.6,45.0,29.0,37.0
2023-01-07,FLD_06,EQP_006,26.9,61.0,0.0,60.1,61.6,31.8,43.5
2023-01-08,FLD_01,EQP_001,13.8,48.9,0.0,58.1,54.9,29.9,40.7
2023-01-08,FLD_02,EQP_002,21.5,34.2,0.0,50.1,46.5,28.0,41.6
2023-01-08,FLD_03,EQP_003,29.0,61.7,0.08,26.8,56.8,28.6,36.3
2023-01-08,FLD_04,EQP_004,35.6,62.7,0.0,42.0,40.3,35.8,44.7
2023-01-08,FLD_05,EQP_005,18.8,46.4,0.0,41.1,49.9,19.5,50.6
2023-01-08,FLD_06,EQP_006,27.8,60.6,0.0,57.0,45.5,25.9,41.5
2023-01-09,FLD_01,EQP_001,17.3,35.0,0.0,54.4,57.0,35.8,37.1
2023-01-09,FLD_02,EQP_002,13.7,53.7,0.0,48.9,61.8,34.3,39.0
2023-01-09,FLD_03,EQP_003,28.9,46.2,0.0,22.1,49.6,36.4,44.6
2023-01-09,FLD_04,EQP_004,30.7,54.9,0.0,51.7,46.8,31.1,40.1
2023-01-09,FLD_05,EQP_005,16.7,32.4,0.07,52.2,57.7,40.8,35.4
2023-01-09,FLD_06,EQP_006,32.0,55.7,0.0,52.2,57.8,22.7,44.7
2023-01-10,FLD_01,EQP_001,15.7,26.5,0.0,47.6,51.2,31.7,51.3
2023-01-10,FLD_02,EQP_002,20.1,34.3,0.0,46.6,61.8,33.5,39.2
2023-01-10,FLD_03,EQP_003,28.7,52.0,0.87,38.1,41.2,31.7,39.5
2023-01-10,FLD_04,EQP_004,29.9,56.4,0.0,40.7,45.2,30.0,40.3
2023-01-10,FLD_05,EQP_005,14.5,46.3,0.0,39.5,54.3,35.3,49.2
2023-01-10,FLD_06,EQP_006,26.0,51.8,0.0,62.5,50.9,35.9,40.4
2023-01-11,FLD_01,EQP_001,24.6,57.7,0.05,54.8,60.9,25.2,44.1
2023-01-11,FLD_02,EQP_002,20.6,22.5,0.0,45.9,48.9,31.0,27.0
2023-01-11,FLD_03,EQP_003,27.2,64.9,0.0,19.6,49.6,31.9,39.8
2023-01-11,FLD_04,EQP_004,21.7,53.5,0.0,51.1,49.4,24.5,42.9
2023-01-11,FLD_05,EQP_005,19.3,37.2,0.0,38.6,54.0,27.3,35.2
2023-01-11,FLD_06,EQP_006,28.6,45.9,0.0,53.4,31.7,29.5,40.3
2023-01-12,FLD_01,EQP_001,18.4,52.1,0.0,52.3,48.2,33.1,44.5
2023-01-12,FLD_02,EQP_002,14.2,34.3,0.0,57.1,47.5,26.9,26.8
2023-01-12,FLD_03,EQP_003,31.9,46.3,0.14,21.2,50.6,37.6,25.3
2023-01-12,FLD_04,EQP_004,26.1,47.0,0.0,46.0,41.3,38.4,45.3
2023-01-12,FLD_05,EQP_005,16.3,54.9,0.0,58.3,58.1,27.8,49.5
2023-01-12,FLD_06,EQP_006,27.6,48.9,0.0,58.5,65.3,23.0,43.4
2023-01-13,FLD_01,EQP_001,13.7,35.2,0.0,48.9,45.6,17.5,44.1
2023-01-13,FLD_02,EQP_002,17.9,39.2,0.17,42.7,45.7,32.6,41.2
2023-01-13,FLD_03,EQP_003,36.1,67.2,0.0,21.5,54.6,26.2,29.2
2023-01-13,FLD_04,EQP_004,23.2,54.6,0.0,43.6,56.4,24.3,41.6
2023-01-13,FLD_05,EQP_005,27.5,24.0,0.0,34.6,46.9,35.0,36.5
2023-01-13,FLD_06,EQP_006,31.9,45.2,0.18,41.6,43.6,32.9,38.8
2023-01-14,FLD_01,EQP_001,17.8,34.1,0.02,52.0,48.8,35.8,41.5
2023-01-14,FLD_02,EQP_002,17.7,36.0,0.0,42.4,47.4,32.7,46.2
2023-01-14,FLD_03,EQP_003,21.2,57.1,0.1,29.7,60.4,26.6,26.6
2023-01-14,FLD_04,EQP_004,32.6,47.5,0.0,48.3,48.2,34.1,26.7
2023-01-14,FLD_05,EQP_005,17.3,47.8,0.0,46.2,54.6,25.6,37.6
2023-01-14,FLD_06,EQP_006,30.7,64.2,0.0,55.0,52.0,27.7,34.9
2023-01-15,FLD_01,EQP_001,19.7,31.5,0.0,57.8,53.2,28.3,45.0
2023-01-15,FLD_02,EQP_002,21.5,35.7,0.0,46.3,42.6,34.3,48.1
2023-01-15,FLD_03,EQP_003,30.4,69.2,0.0,22.0,45.9,30.9,45.0
2023-01-15,FLD_04,EQP_004,25.8,35.6,0.03,49.5,71.1,29.0,40.3
2023-01-15,FLD_05,EQP_005,23.5,46.0,0.12,45.4,40.9,23.3,51.3
2023-01-15,FLD_06,EQP_006,29.6,55.0,0.12,67.8,54.2,27.1,39.2
2023-01-16,FLD_01,EQP_001,20.6,34.3,0.0,45.1,36.8,34.1,40.4
2023-01-16,FLD_02,EQP_002,11.2,27.1,0.0,38.2,47.9,24.4,39.1
2023-01-16,FLD_03,EQP_003,28.9,43.7,0.0,24.2,55.6,39.2,46.8
2023-01-16,FLD_04,EQP_004,28.0,45.4,0.0,48.3,51.3,26.6,40.9
2023-01-16,FLD_05,EQP_005,13.2,46.8,0.02,60.0,41.1,36.9,24.0
2023-01-16,FLD_06,EQP_006,21.7,44.3,0.0,54.0,47.0,23.0,35.3
2023-01-17,FLD_01,EQP_001,11.9,57.6,0.0,58.4,43.8,29.6,40.2
2023-01-17,FLD_02,EQP_002,13.5,32.8,0.0,42.8,53.9,23.9,44.3
2023-01-17,FLD_03,EQP_003,28.1,51.2,0.0,27.6,52.0,38.2,34.0
2023-01-17,FLD_04,EQP_004,26.6,46.7,0.0,40.7,64.1,23.8,35.1
2023-01-17,FLD_05,EQP_005,21.6,22.6,0.0,34.7,64.0,19.6,50.2
2023-01-17,FLD_06,EQP_006,29.7,53.4,0.03,53.6,58.8,30.6,40.9
2023-01-18,FLD_01,EQP_001,14.9,39.5,0.0,63.8,55.4,26.9,37.5
2023-01-18,FLD_02,EQP_002,11.2,41.1,0.0,48.1,42.2,32.0,29.8
2023-01-18,FLD_03,EQP_003,32.5,58.0,0.0,33.4,62.6,25.0,43.1
2023-01-18,FLD_04,EQP_004,28.4,60.7,0.0,46.6,50.2,32.6,35.6
2023-01-18,FLD_05,EQP_005,17.1,32.5,0.0,36.3,43.6,36.7,34.7
2023-01-18,FLD_06,EQP_006,30.9,40.2,0.0,54.1,51.5,25.7,44.2
2023-01-19,FLD_01,EQP_001,14.0,41.3,0.0,45.1,57.9,28.2,41.5
2023-01-19,FLD_02,EQP_002,17.1,36.7,0.0,41.2,64.5,33.5,36.6
2023-01-19,FLD_03,EQP_003,31.1,62.0,0.0,17.4,59.2,23.4,38.6
2023-01-19,FLD_04,EQP_004,32.7,55.2,0.0,50.2,58.6,34.2,42.8
2023-01-19,FLD_05,EQP_005,16.1,23.5,0.0,47.5,51.1,32.2,38.7
2023-01-19,FLD_06,EQP_006,32.9,53.6,0.08,46.1,54.0,24.8,47.7
2023-01-20,FLD_01,EQP_001,15.3,41.4,0.0,60.3,51.6,35.2,31.1
2023-01-20,FLD_02,EQP_002,17.4,49.0,0.0,49.0,50.4,36.1,35.9
2023-01-20,FLD_03,EQP_003,27.1,34.3,0.0,22.9,61.6,37.9,36.9
2023-01-20,FLD_04,EQP_004,27.5,52.0,0.0,44.2,41.6,20.3,32.8
2023-01-20,FLD_05,EQP_005,12.1,46.9,0.15,48.3,43.4,41.5,36.0
2023-01-20,FLD_06,EQP_006,33.0,67.2,0.0,50.3,45.8,26.9,36.7
2023-01-21,FLD_01,EQP_001,13.8,52.0,0.0,52.8,40.6,34.0,46.3
2023-01-21,FLD_02,EQP_002,17.7,36.3,0.0,45.1,37.9,37.7,50.8
2023-01-21,FLD_03,EQP_003,26.8,51.1,0.62,35.8,52.7,33.3,52.1
2023-01-21,FLD_04,EQP_004,28.3,47.8,0.0,52.9,42.4,25.8,40.0
2023-01-21,FLD_05,EQP_005,19.1,29.5,0.0,42.7,59.5,42.6,36.8
2023-01-21,FLD_06,EQP_006,27.2,62.6,0.0,47.2,53.7,31.2,41.8
2023-01-22,FLD_01,EQP_001,20.1,44.3,0.12,55.3,56.9,35.0,49.2
2023-01-22,FLD_02,EQP_002,13.7,44.9,0.21,47.2,43.3,26.6,43.0
2023-01-22,FLD_03,EQP_003,30.4,57.4,0.0,27.0,50.4,23.2,44.5
2023-01-22,FLD_04,EQP_004,31.2,71.5,0.02,51.2,62.6,29.5,41.7
2023-01-22,FLD_05,EQP_005,18.8,42.0,0.0,45.1,53.3,29.1,37.6
2023-01-22,FLD_06,EQP_006,27.7,55.6,0.0,60.5,37.8,27.2,42.3
2023-01-23,FLD_01,EQP_001,22.6,39.4,0.0,41.4,46.7,23.9,38.9
2023-01-23,FLD_02,EQP_002,18.9,50.0,0.0,46.2,45.5,23.6,45.2
2023-01-23,FLD_03,EQP_003,31.2,53.4,0.0,19.2,63.3,34.5,38.8
2023-01-23,FLD_04,EQP_004,26.4,48.9,0.0,43.1,61.6,29.6,46.7
2023-01-23,FLD_05,EQP_005,17.7,44.7,0.0,47.2,54.9,25.3,41.9
2023-01-23,FLD_06,EQP_006,33.3,58.1,0.0,49.1,64.4,29.8,31.4
2023-01-24,FLD_01,EQP_001,16.9,33.3,0.0,48.4,58.0,28.6,39.8
2023-01-24,FLD_02,EQP_002,15.6,33.2,0.0,36.7,56.1,33.9,42.6
2023-01-24,FLD_03,EQP_003,25.5,53.8,0.0,39.7,49.8,32.6,50.7
2023-01-24,FLD_04,EQP_004,25.9,54.5,0.0,45.1,47.8,39.0,43.8
2023-01-24,FLD_05,EQP_005,14.1,45.8,0.0,47.8,43.6,39.1,42.1
2023-01-24,FLD_06,EQP_006,30.3,59.7,0.08,55.4,57.6,29.0,47.9
2023-01-25,FLD_01,EQP_001,17.9,61.9,0.0,50.8,46.1,28.4,42.5
2023-01-25,FLD_02,EQP_002,18.4,34.4,0.0,58.4,49.2,25.3,44.5
2023-01-25,FLD_03,EQP_003,25.0,58.7,0.0,27.1,36.7,32.0,43.9
2023-01-25,FLD_04,EQP_004,27.2,66.8,0.0,43.0,66.0,29.5,50.7
2023-01-25,FLD_05,EQP_005,9.8,34.4,0.0,54.4,61.0,26.9,42.4
2023-01-25,FLD_06,EQP_006,30.7,56.3,0.0,55.0,47.7,21.7,39.7
2023-01-26,FLD_01,EQP_001,15.7,50.7,0.0,59.5,36.1,28.2,33.3
2023-01-26,FLD_02,EQP_002,11.2,51.7,0.0,40.4,47.8,19.5,41.5
2023-01-26,FLD_03,EQP_003,28.0,64.1,0.0,35.2,56.8,28.3,37.9
2023-01-26,FLD_04,EQP_004,27.8,70.8,0.33,60.1,51.9,28.7,38.8
2023-01-26,FLD_05,EQP_005,16.1,39.7,0.0,44.4,41.7,29.1,42.7
2023-01-26,FLD_06,EQP_006,26.9,54.3,0.0,59.3,52.8,35.0,22.6
2023-01-27,FLD_01,EQP_001,24.7,38.7,0.0,44.3,55.2,31.4,36.1
2023-01-27,FLD_02,EQP_002,20.6,38.5,0.0,47.5,54.0,30.8,42.2
2023-01-27,FLD_03,EQP_003,37.3,53.8,0.17,30.5,59.5,33.2,33.1
2023-01-27,FLD_04,EQP_004,34.6,45.0,0.0,50.7,48.0,31.7,48.6
2023-01-27,FLD_05,EQP_005,18.6,43.7,0.0,50.4,40.2,33.0,44.2
2023-01-27,FLD_06,EQP_006,27.9,65.2,0.03,54.9,50.1,24.5,31.4
2023-01-28,FLD_01,EQP_001,22.7,31.6,0.0,41.3,47.6,23.5,36.4
2023-01-28,FLD_02,EQP_002,17.0,33.1,0.0,40.6,68.0,34.9,38.1
2023-01-28,FLD_03,EQP_003,20.2,72.5,0.0,25.9,37.7,37.2,29.1
2023-01-28,FLD_04,EQP_004,37.1,60.0,0.34,49.0,53.1,29.1,43.3
2023-01-28,FLD_05,EQP_005,16.2,30.6,0.0,39.1,41.2,30.9,48.4
2023-01-28,FLD_06,EQP_006,32.1,41.7,0.0,48.3,37.3,29.3,39.0
2023-01-29,FLD_01,EQP_001,12.5,45.6,0.0,51.6,52.6,22.0,42.6
2023-01-29,FLD_02,EQP_002,16.3,45.6,0.0,42.6,50.5,32.4,40.8
2023-01-29,FLD_03,EQP_003,33.1,57.3,0.05,28.1,39.6,35.7,38.2
2023-01-29,FLD_04,EQP_004,28.0,60.2,0.0,46.2,57.2,28.5,47.5
2023-01-29,FLD_05,EQP_005,13.6,42.9,0.0,57.5,40.1,32.6,35.6
2023-01-29,FLD_06,EQP_006,27.7,57.8,0.0,54.9,48.8,34.8,53.3
2023-01-30,FLD_01,EQP_001,14.1,26.4,0.0,53.6,50.0,32.1,35.4
2023-01-30,FLD_02,EQP_002,10.6,21.0,0.0,48.2,63.0,28.1,38.8
2023-01-30,FLD_03,EQP_003,26.9,46.1,0.0,23.4,48.4,26.2,40.2
2023-01-30,FLD_04,EQP_004,26.8,59.8,0.0,51.9,56.7,20.0,42.2
2023-01-30,FLD_05,EQP_005,21.3,28.0,0.11,51.5,53.4,26.5,39.7
2023-01-30,FLD_06,EQP_006,30.9,54.8,0.0,48.2,55.0,25.4,40.5
2023-01-31,FLD_01,EQP_001,22.7,37.0,0.0,55.1,54.9,24.5,38.1
2023-01-31,FLD_02,EQP_002,21.2,41.5,0.0,39.4,51.8,27.4,42.2
2023-01-31,FLD_03,EQP_003,30.7,58.9,0.0,22.2,39.4,20.8,43.0
2023-01-31,FLD_04,EQP_004,25.1,37.0,0.0,52.8,50.3,31.3,40.0
2023-01-31,FLD_05,EQP_005,14.8,44.7,0.01,44.0,59.3,32.8,43.6
2023-01-31,FLD_06,EQP_006,27.2,52.3,0.0,57.0,42.8,30.1,39.9
2023-02-01,FLD_01,EQP_001,19.3,45.2,0.0,64.1,47.6,26.7,43.2
2023-02-01,FLD_02,EQP_002,4.9,41.1,0.0,46.6,48.5,30.3,43.2
2023-02-01,FLD_03,EQP_003,29.8,57.9,0.0,11.9,52.3,31.4,35.2
2023-02-01,FLD_04,EQP_004,31.9,43.7,0.0,45.5,61.9,30.7,38.0
2023-02-01,FLD_05,EQP_005,12.5,37.5,0.0,46.3,44.2,22.3,45.5
2023-02-01,FLD_06,EQP_006,31.7,72.3,0.0,47.7,48.2,24.1,29.2
2023-02-02,FLD_01,EQP_001,17.2,48.1,0.0,52.8,48.6,28.0,39.9
2023-02-02,FLD_02,EQP_002,18.5,32.5,0.0,36.0,51.5,29.9,43.5
2023-02-02,FLD_03,EQP_003,30.4,46.2,0.0,19.0,49.7,35.8,34.8
2023-02-02,FLD_04,EQP_004,21.9,50.4,0.0,58.6,48.3,26.7,46.2
2023-02-02,FLD_05,EQP_005,12.6,58.8,0.0,47.9,57.4,37.1,47.3
2023-02-02,FLD_06,EQP_006,31.0,60.4,0.0,53.8,44.0,32.3,35.9
2023-02-03,FLD_01,EQP_001,23.1,41.9,0.0,51.1,46.4,26.0,47.8
2023-02-03,FLD_02,EQP_002,11.1,27.2,0.0,40.5,54.3,35.9,44.3
2023-02-03,FLD_03,EQP_003,33.5,47.9,0.0,17.6,46.0,31.4,34.4
2023-02-03,FLD_04,EQP_004,32.2,63.8,0.0,45.3,57.4,30.3,41.6
2023-02-03,FLD_05,EQP_005,21.1,45.6,0.0,39.4,52.9,32.8,38.7
2023-02-03,FLD_06,EQP_006,27.9,43.7,0.0,63.5,41.2,28.9,38.3
2023-02-04,FLD_01,EQP_001,16.2,48.7,0.0,54.9,52.1,34.2,35.1
2023-02-04,FLD_02,EQP_002,19.9,39.1,0.0,46.8,59.4,30.9,32.2
2023-02-04,FLD_03,EQP_003,31.4,48.8,0.05,31.6,50.2,31.5,50.2
2023-02-04,FLD_04,EQP_004,30.8,74.8,0.0,59.2,55.0,31.6,45.4
2023-02-04,FLD_05,EQP_005,12.5,45.3,0.0,46.0,43.2,27.1,43.5
2023-02-04,FLD_06,EQP_006,35.8,57.2,0.0,48.8,41.1,31.4,48.7
2023-02-05,FLD_01,EQP_001,9.2,29.4,0.0,57.9,47.0,38.6,37.6
2023-02-05,FLD_02,EQP_002,15.9,49.8,0.0,54.5,44.0,35.8,36.6
2023-02-05,FLD_03,EQP_003,30.6,47.3,0.0,22.2,51.5,37.7,52.0
2023-02-05,FLD_04,EQP_004,37.2,63.7,0.0,43.4,56.6,30.0,47.9
2023-02-05,FLD_05,EQP_005,19.5,34.0,0.0,43.5,61.8,24.3,38.8
2023-02-05,FLD_06,EQP_006,27.5,39.1,0.0,55.3,39.1,30.9,43.5
2023-02-06,FLD_01,EQP_001,22.4,29.7,0.0,47.9,42.3,28.1,46.5
2023-02-06,FLD_02,EQP_002,22.5,55.9,0.0,37.0,40.6,27.4,44.6
2023-02-06,FLD_03,EQP_003,23.4,55.4,0.06,34.6,48.4,28.2,42.4
2023-02-06,FLD_04,EQP_004,29.3,65.1,0.0,49.7,64.2,38.3,37.3
2023-02-06,FLD_05,EQP_005,12.6,45.2,0.0,49.0,45.4,31.8,40.7
2023-02-06,FLD_06,EQP_006,26.6,46.9,0.0,52.9,52.9,34.6,35.2
2023-02-07,FLD_01,EQP_001,21.0,37.8,0.0,47.7,49.9,30.5,33.2
2023-02-07,FLD_02,EQP_002,7.9,30.2,0.0,48.6,50.7,33.5,40.6
2023-02-07,FLD_03,EQP_003,29.6,49.2,0.0,29.6,40.0,31.5,31.9
2023-02-07,FLD_04,EQP_004,31.6,53.7,0.0,43.7,47.5,27.9,36.7
2023-02-07,FLD_05,EQP_005,17.5,36.0,0.0,39.0,50.5,32.1,44.2
2023-02-07,FLD_06,EQP_006,30.6,51.1,0.0,52.5,43.4,23.7,39.7
2023-02-08,FLD_01,EQP_001,13.2,60.6,0.0,58.9,66.5,30.1,35.6
2023-02-08,FLD_02,EQP_002,14.3,54.2,0.0,44.1,54.8,26.5,36.9
2023-02-08,FLD_03,EQP_003,34.1,47.9,0.0,25.3,48.0,28.5,30.6
2023-02-08,FLD_04,EQP_004,33.1,53.4,0.0,42.2,50.0,35.2,43.0
2023-02-08,FLD_05,EQP_005,20.2,34.8,0.02,34.0,51.6,31.8,48.2
2023-02-08,FLD_06,EQP_006,34.2,58.3,0.0,52.5,56.8,32.4,34.9
2023-02-09,FLD_01,EQP_001,12.4,50.8,0.24,56.3,46.8,25.2,42.5
2023-02-09,FLD_02,EQP_002,23.3,29.8,0.0,42.1,51.9,32.6,40.0
2023-02-09,FLD_03,EQP_003,30.9,53.6,0.0,20.2,53.4,29.1,45.9
2023-02-09,FLD_04,EQP_004,34.2,74.7,0.0,44.8,54.8,31.4,41.8
2023-02-09,FLD_05,EQP_005,22.2,44.0,0.0,49.6,49.1,19.4,36.4
2023-02-09,FLD_06,EQP_006,34.5,53.8,0.0,54.3,43.3,27.2,37.5
2023-02-10,FLD_01,EQP_001,12.3,20.2,0.0,58.2,62.2,35.0,37.4
2023-02-10,FLD_02,EQP_002,16.6,40.3,0.0,46.8,43.7,36.0,33.3
2023-02-10,FLD_03,EQP_003,28.6,58.2,0.07,34.6,58.1,20.3,40.8
2023-02-10,FLD_04,EQP_004,33.6,43.5,0.41,54.4,55.3,23.9,45.0
2023-02-10,FLD_05,EQP_005,16.1,47.0,0.0,45.1,42.2,35.5,39.3
2023-02-10,FLD_06,EQP_006,22.4,60.8,0.02,54.7,49.3,31.7,41.1
2023-02-11,FLD_01,EQP_001,17.8,36.1,0.0,52.5,52.5,34.4,36.8
2023-02-11,FLD_02,EQP_002,17.6,36.6,0.0,46.0,64.7,28.9,37.9
2023-02-11,FLD_03,EQP_003,29.9,51.6,0.0,17.7,56.2,35.3,34.8
2023-02-11,FLD_04,EQP_004,31.5,61.2,0.0,48.0,48.6,30.4,47.0
2023-02-11,FLD_05,EQP_005,11.3,42.9,0.0,48.6,55.1,33.3,56.1
2023-02-11,FLD_06,EQP_006,23.7,48.5,0.0,57.9,61.0,29.3,45.7
2023-02-12,FLD_01,EQP_001,21.4,53.6,0.0,46.7,56.3,25.2,40.2
2023-02-12,FLD_02,EQP_002,14.0,16.5,0.0,44.2,54.4,30.2,50.2
2023-02-12,FLD_03,EQP_003,27.8,55.6,0.0,24.7,32.3,28.9,27.6
2023-02-12,FLD_04,EQP_004,31.6,44.1,0.0,47.2,38.3,28.5,35.5
2023-02-12,FLD_05,EQP_005,16.3,53.9,0.0,48.3,48.6,26.1,38.8
2023-02-12,FLD_06,EQP_006,26.9,56.1,0.0,60.2,50.2,39.5,39.6
2023-02-13,FLD_01,EQP_001,12.2,25.4,0.0,56.8,48.5,33.9,49.2
2023-02-13,FLD_02,EQP_002,18.7,35.1,0.17,46.3,45.1,26.5,42.1
2023-02-13,FLD_03,EQP_003,27.1,36.3,0.0,24.2,42.1,29.3,40.5
2023-02-13,FLD_04,EQP_004,29.2,48.8,0.22,45.4,61.3,29.5,40.1
2023-02-13,FLD_05,EQP_005,17.8,42.8,0.0,46.6,55.1,30.3,35.5
2023-02-13,FLD_06,EQP_006,24.1,48.8,0.0,52.5,50.7,30.8,33.8
2023-02-14,FLD_01,EQP_001,20.1,31.8,0.0,52.5,56.8,39.2,35.5
2023-02-14,FLD_02,EQP_002,11.2,29.6,0.0,52.9,48.0,31.4,41.6
2023-02-14,FLD_03,EQP_003,29.5,60.5,0.0,17.6,59.4,37.9,44.7
2023-02-14,FLD_04,EQP_004,26.5,65.9,0.0,45.5,48.3,28.5,44.7
2023-02-14,FLD_05,EQP_005,20.2,54.5,0.0,44.1,44.3,35.6,32.9
2023-02-14,FLD_06,EQP_006,24.3,64.2,0.0,56.6,52.2,26.0,42.5
2023-02-15,FLD_01,EQP_001,13.1,40.4,0.0,53.3,53.3,24.5,37.8
2023-02-15,FLD_02,EQP_002,7.8,37.0,0.01,47.7,51.8,31.2,45.4
2023-02-15,FLD_03,EQP_003,24.6,42.1,0.0,20.9,51.1,38.7,53.4
2023-02-15,FLD_04,EQP_004,32.2,58.0,0.0,42.6,43.0,23.7,34.8
2023-02-15,FLD_05,EQP_005,15.2,45.4,0.0,40.6,51.9,40.4,34.5
2023-02-15,FLD_06,EQP_006,21.1,51.7,0.42,67.3,65.7,23.9,43.0
2023-02-16,FLD_01,EQP_001,13.1,39.4,0.0,46.1,51.9,31.3,50.6
2023-02-16,FLD_02,EQP_002,13.6,43.3,0.0,49.5,47.0,31.9,39.8
2023-02-16,FLD_03,EQP_003,33.9,53.6,0.0,17.1,43.3,33.2,35.6
2023-02-16,FLD_04,EQP_004,30.8,34.6,0.0,51.4,51.8,29.7,41.7
2023-02-16,FLD_05,EQP_005,17.1,47.0,0.0,51.2,48.4,29.3,46.0
2023-02-16,FLD_06,EQP_006,38.2,55.5,0.0,60.1,48.1,34.8,46.6
2023-02-17,FLD_01,EQP_001,13.4,33.0,0.0,49.8,56.9,34.8,43.1
2023-02-17,FLD_02,EQP_002,17.9,45.7,0.0,47.0,45.2,33.5,47.1
2023-02-17,FLD_03,EQP_003,32.0,57.6,0.0,25.3,42.9,29.2,35.5
2023-02-17,FLD_04,EQP_004,27.6,52.8,0.0,49.8,48.9,30.2,43.7
2023-02-17,FLD_05,EQP_005,13.1,38.3,0.0,49.4,57.5,22.0,35.4
2023-02-17,FLD_06,EQP_006,27.3,46.5,0.53,64.2,48.4,28.7,28.0
2023-02-18,FLD_01,EQP_001,17.5,28.1,0.09,58.7,39.5,14.9,41.1
2023-02-18,FLD_02,EQP_002,22.2,52.9,0.0,38.4,56.3,34.2,43.4
2023-02-18,FLD_03,EQP_003,30.8,65.0,0.0,28.6,45.9,29.9,29.4
2023-02-18,FLD_04,EQP_004,27.6,50.7,0.0,45.9,50.1,34.8,33.8
2023-02-18,FLD_05,EQP_005,11.6,51.8,0.0,41.3,43.4,27.6,45.2
